name,ra,ra_hours,dec,min_mag,max_mag,mag_range,variability_type,period_days,variable_star_number,class
V594 Vir,221.31233,14.75415533,0.04703,17.37,17.41,0.04,RPHS,0.00138,860594,STAR B0VI
V499 Ser,240.18179,16.01211933,7.80089,17.23,17.41,0.18,RPHS,0.00138,760499,STAR O0VI
CX Boo,216.16313,14.41087533,9.28728,14.2,14.3,0.1,ZZA,0.0014,90124,WHITE DWARF D A
V1211 Her,250.55917,16.70394467,42.87611,15.92,15.94,0.02,RPHS,0.0016,401211,STAR B0VI
QQ Vir,201.95233,13.46348867,9.91417,13.4,13.45,0.05,RPHS,0.0016,860325,STAR B0VI
EP Psc,346.59317,23.10621133,2.15169,16.19,16.23,0.04,RPHS,0.00166,660159,STAR B0VI
V366 Dra,259.34179,17.28945267,58.09961,16.86,16.91,0.05,RPHS,0.0016632,340366,STAR O0VI
KN Boo,215.40908,14.36060533,7.88878,15.08,15.1,0.02,RPHS,0.00167,90247,STAR B0VI
V1078 Her,243.69554,16.24636933,42.45997,14.05,14.14,0.09,RPHS,0.00167,401078,STAR O0VI
BI Ari,29.36617,1.957744667,18.46114,15.26,15.3,0.04,RPHS,0.001901,70087,STAR B0VI
V359 UMa,207.83433,13.855622,54.96186,15.4,15.5,0.1,ZZA,0.002421,830359,WHITE DWARF D A
LV Cnc,139.93796,9.329197333,8.95278,19,18.8,0.2,ZZ,0.003,120270,WHITE DWARF
V405 Aur,89.49708,5.966472,53.89578,14.48,14.6,0.12,XM,0.00315723,80405,X-RAY BINARY
HM Cnc,121.59575,8.106383333,15.45875,20.12,21.2,1.08,NL,0.0037216,120213,CV NOVA LIKE
V585 Peg,348.83954,23.25596933,29.08375,11.67,11.8,0.13,RPHS,0.0041226,620585,STAR B0VI
DW Lyn,106.79058,7.119372,60.64731,14.67,14.7,0.03,RPHS,0.0042,510145,STAR
V1835 Ori,73.81346,4.920897333,13.09161,17.1,17.2,0.1,RPHS,0.00433,601835,STAR B0VI
V349 Aqr,339.68258,22.64550533,1.13925,18.5,18,0.5,XM:,0.0046725,40349,X-RAY BINARY
V430 UMa,216.60721,14.44048067,57.87169,19.09,19.16,0.07,ZZ,0.0048346,830430,WHITE DWARF D Q
HK Cnc,134.761,8.984066667,11.94106,13.52,13.56,0.04,RPHS,0.00505,120211,STAR
V988 Cas,30.16742,2.011161333,58.52697,8.52,8.54,0.02,ACVO,0.00528,180988,STAR F0
V515 And,13.83275,0.922183333,46.21583,14.4,14.7,0.3,NL,0.0053876,10515,CV NOVA LIKE
V1033 Cas,5.74017,0.382678,61.68544,16.9,16.4,0.5,NL,0.006522,181033,CV NOVA LIKE
V355 UMa,204.92158,13.66143867,48.79092,18.3,17.98,0.32,ZZ+NL,0.00743,830355,WHITE DWARF
CW Boo,224.63642,14.97576133,10.13847,15.65,15.9,0.25,ZZB,0.00769,90123,WHITE DWARF D B
V439 Vir,195.29379,13.019586,1.12775,16.11,16.26,0.15,ZZA,0.0086,860439,WHITE DWARF D A
gam Equ,317.58542,21.17236133,10.13158,4.77,4.58,0.19,ACVO,0.00868,359003,STAR F0
BT Cam,180.43629,12.029086,80.08322,15.5,15.9,0.4,ZZA,0.0096,110097,WHITE DWARF D A
BR Cam,74.8635,4.9909,55.42253,15.7,16,0.3,ZZA,0.01,110095,WHITE DWARF D A
V399 UMa,178.79721,11.919814,46.46978,7.011,7.026,0.015,DSCTC:,0.01055,830399,STAR A1
V409 Peg,357.47279,23.83151933,13.10356,15.87,15.9,0.03,ZZA,0.012,620409,STAR A0V
AM CVn,188.72746,12.58183067,37.62872,14.2,14.1,0.1,NL,0.012167,130066,WHITE DWARF D B
BG CVn,197.49008,13.16600533,35.16311,15.24,15.33,0.09,ZZA,0.01372812,130085,WHITE DWARF D A
EQ Lyn,116.38338,7.758892,45.64217,18.15,18.3,0.15,ZZ+NL,0.01424,510160,WHITE DWARF
CH Cam,61.74742,4.116494667,60.92072,14.3,14.4,0.1,RPHS:,0.01526,110109,WOLF RAYET STAR WC4
V360 Cep,325.07779,21.67185267,68.38942,8.27,8.3,0.03,DSCTC,0.017,200360,STAR
